N TIME
17089 938593
59296 2881572
41261 1205238
63623 1465880
32328 289502
18415 755114
29462 807255
21630 27662
63607 472663
12621 806915
38236 57970
61841 4480051
60236 3427638
32344 984253
45344 1129665
5509 400660
25484 1921191
41790 1223636
56125 3373250
41899 1202369
52807 2096027
29143 2064312
27068 347583
19911 430371
47471 2269238
34164 882250
59421 3600385
17871 380464
21182 721342
8207 293229
29951 447016
11295 590681
64276 3082181
2472 188670
7439 80074
63268 2938781
45099 892316
62817 3526365
23406 1616700
58895 4443605
41551 1800157
55465 839933
20533 1512095
13967 770707
59265 287355
45905 3031593
23006 695459
22630 666790
9349 552127
10576 199227
43461 3272219
4218 242132
62311 2145036
22287 1629421
4274 27656
58654 2407964
52811 148339
63840 4020912
35712 2464216
46986 2426979
22988 12103
65438 2442373
48503 2404988
60127 161465
37990 585806
61129 295250
880 9623
7975 284426
22013 823070
4917 336644
61275 1167363
56523 482310
661 4825
25618 1111379
64743 4040190
35764 2574925
36481 333404
32584 727925
49209 2594095
28039 2003540
11044 808803
60199 379905
59801 1311674
51384 2575167
27025 239429
15183 720177
8138 599667
48614 1981244
38541 250176
247 6802
51741 1914012
62184 312929
19078 1520734
31123 483677
62426 2978795
58399 2563359
2329 21732
53591 4145033
8872 144443
15147 900232
37433 2488719
23731 101356
31628 821711
45733 626821
12580 119955
7392 110155
36558 944013
52961 2142079
2174 19124
14481 48685
2564 121481
26936 1182207
61854 4832869
18036 748245
20004 746038
55146 1473865
1538 6685
59543 2222125
18048 458041
65017 1335868
7074 89070
58847 1458105
59252 3041612
29063 109553
12484 824493
35772 1019561
63780 1342600
20741 422606
55226 1236156
19661 111584
18628 620356
62059 1465435
54748 2482771
2136 145674
56567 881025
24964 1850110
30608 1028242
3414 249107
47700 3636978
61988 414140
40368 1011503
15775 499449
29250 257205
38212 2528763
36272 1736594
19120 96881
22742 1365120
21109 873658
16626 1169539
12378 455261
56496 2054557
22837 50873
